,genre
0,Action
1,Comedy
2,Slice of Life
3,Supernatural
4,Adventure
5,Fantasy
6,Mystery
7,Drama
8,Sci-Fi
9,Suspense
10,Ecchi
11,Avant Garde
12,Horror
13,Romance
14,Sports
15,Science Fiction
16,Animation
17,Family
18,TV Movie
19,Thriller
20,War
21,Crime
22,Western
23,History
24,Music
25,Talk
26,Action & Adventure
27,War & Politics
28,Sci-Fi & Fantasy
29,Soap
30,News
31,Reality
32,Documentary
33,Kids
34,Free to Play
35,Strategy
36,Indie
37,RPG
38,Animation & Modeling
39,Video Production
40,Casual
41,Simulation
42,Racing
