id,work_id,genre_id
0,0,0
1,1,0
2,1,1
3,2,2
4,3,3
5,3,4
6,3,5
7,4,4
8,4,5
9,4,2
10,4,6
11,4,1
12,5,4
13,5,5
14,5,2
15,5,6
16,5,1
17,6,3
18,6,4
19,6,7
20,6,0
21,6,5
22,7,3
23,7,0
24,7,6
25,7,8
26,8,0
27,8,6
28,9,3
29,9,0
30,9,9
31,10,3
32,10,7
33,10,9
34,11,3
35,11,0
36,11,5
37,11,2
38,12,0
39,12,10
40,12,1
41,13,3
42,13,4
43,13,0
44,14,3
45,14,7
46,14,0
47,14,9
48,15,0
49,15,11
50,15,2
51,15,12
52,16,3
53,16,4
54,16,7
55,16,0
56,16,9
57,17,0
58,17,9
59,17,12
60,18,3
61,18,5
62,18,1
63,19,4
64,19,5
65,20,7
66,20,0
67,20,10
68,20,6
69,20,1
70,21,3
71,21,2
72,21,1
73,22,3
74,22,0
75,22,9
76,23,3
77,23,7
78,23,9
79,24,3
80,24,7
81,24,9
82,25,3
83,25,7
84,25,9
85,26,3
86,26,0
87,26,10
88,27,4
89,27,0
90,27,1
91,28,7
92,28,0
93,28,6
94,29,3
95,29,7
96,29,6
97,29,1
98,30,7
99,30,0
100,30,8
101,31,3
102,31,4
103,32,4
104,32,0
105,32,5
106,32,2
107,32,9
108,33,7
109,33,0
110,33,10
111,33,6
112,33,1
113,34,0
114,34,9
115,35,3
116,35,0
117,35,5
118,35,2
119,36,3
120,36,0
121,36,1
122,37,3
123,37,1
124,38,7
125,38,2
126,38,1
127,39,1
128,40,3
129,40,7
130,40,9
131,41,3
132,42,7
133,42,0
134,42,8
135,43,0
136,43,5
137,43,6
138,44,7
139,44,2
140,44,10
141,44,1
142,45,0
143,46,3
144,46,7
145,46,9
146,47,3
147,47,4
148,47,5
149,48,3
150,48,7
151,48,9
152,49,3
153,49,7
154,49,9
